list_id,item,item_name,condition,input_video,input_audio,audio match item
3,1,argue,meaning_related,disagree,argue,1
3,2,bite,form_related,paragraph,bite,1
3,3,break,unrelated,spider,break,1
3,4,camp,both_related,house,camp,1
3,5,carry,meaning_related,catch,carry,1
3,6,climb,form_related,perspire,climb,1
3,7,comb,unrelated,contact,comb,1
3,8,count,both_related,coin,count,1
3,9,dig,meaning_related,grave,dig,1
3,10,drink,form_related,cousin,drink,1
3,11,eat,unrelated,hair,eat,1
3,12,exercise,both_related,skate,exercise,1
3,13,fight,meaning_related,kill,fight,1
3,14,haircut,form_related,voice,haircut,1
3,15,hide,unrelated,ugly,hide,1
3,16,hug,both_related,protect,hug,1
3,17,jump,meaning_related,falldown,jump,1
3,18,kick,form_related,major,kick,1
3,19,kiss,unrelated,emergency,kiss,1
3,20,knot,both_related,connect,knot,1
3,21,listen,meaning_related,ear,listen,1
3,22,look,form_related,mexico,look,1
3,23,measure,unrelated,swallow,measure,1
3,24,music,both_related,poetry,music,1
3,25,open,meaning_related,open,close,0
3,26,pay,form_related,pay,discuss,0
3,27,pickup,unrelated,pickup,backstab,0
3,28,pour,both_related,pour,stab,0
3,29,pray,meaning_related,pray,church,0
3,30,preach,form_related,preach,frenchfries,0
3,31,protest,unrelated,protest,winter,0
3,32,sew,both_related,sew,dye,0
3,33,shoot,meaning_related,shoot,die,0
3,34,sit,form_related,sit,problem,0
3,35,sleep,unrelated,sleep,life,0
3,36,smell,both_related,smell,flower,0
3,37,smoke,meaning_related,smoke,cough,0
3,38,stand,form_related,stand,sheep,0
3,39,sweep,unrelated,sweep,indian,0
3,40,swim,both_related,swim,biking,0
3,41,telephone,meaning_related,telephone,number,0
3,42,think,form_related,think,tall,0
3,43,turn,unrelated,turn,insult,0
3,44,violin,both_related,violin,guitar,0
3,45,vomit,meaning_related,vomit,sick,0
3,46,wash,form_related,wash,enter,0
3,47,win,unrelated,win,erase,0
3,48,write,both_related,write,read,0
3,1,east,filler,east,east,1
3,2,fourth,filler,fourth,fourth,1
3,3,deny,filler,deny,deny,1
3,4,lemon,filler,lemon,lemon,1
3,5,download,filler,download,download,1
3,6,dollar,filler,dollar,dollar,1
3,7,fish,filler,fish,fish,1
3,8,snake,filler,snake,snake,1
3,9,horse,filler,horse,horse,1
3,10,city,filler,city,city,1
3,11,miss,filler,miss,miss,1
3,12,quit,filler,quit,quit,1
3,13,airplane,filler,airplane,airplane,1
3,14,under,filler,under,under,1
3,15,curious,filler,curious,curious,1
3,16,pig,filler,pig,pig,1
3,17,dog,filler,dog,dog,1
3,18,old,filler,old,old,1
3,19,rich,filler,rich,rich,1
3,20,bull,filler,bull,bull,1
3,21,army,filler,army,army,1
3,22,blue,filler,blue,blue,1
3,23,danger,filler,danger,danger,1
3,24,man,filler,man,man,1
3,25,same,filler,same,same,1
3,26,car,filler,car,car,1
3,27,sure,filler,sure,sure,1
3,28,art,filler,art,art,1
3,29,quiet,filler,quiet,quiet,1
3,30,selfish,filler,selfish,selfish,1
3,31,ninth,filler,ninth,ninth,1
3,32,freeze,filler,freeze,freeze,1
3,33,grapes,filler,grapes,grapes,1
3,34,effect,filler,effect,effect,1
3,35,cookie,filler,cookie,cookie,1
3,36,whale,filler,whale,whale,1
3,37,use,filler,use,use,1
3,38,hour,filler,hour,hour,1
3,39,end,filler,end,end,1
3,40,game,filler,game,game,1
3,41,gold,filler,gold,gold,1
3,42,candy,filler,candy,candy,1
3,43,god,filler,god,god,1
3,44,bird,filler,bird,bird,1
3,45,glasses,filler,glasses,glasses,1
3,46,search,filler,search,search,1
3,47,top,filler,top,top,1
3,48,goat,filler,goat,goat,1
